Название,Категория,Интервал
Открытость организаций к обучению и KM,Социальные тренды,3-5
Разработка стратегий обмена знаниями – как источник для роста конкурентоспособности,Экономические тренды,1-3
Растущий спрос на аналитиков и менеджеров по знаниям,Социальные тренды,1-3
"Обсуждение ""общества знаний"" в индустрии и политике",Юридические тренды,3-5
Роль KM увеличивается,Экономические тренды,5-7
"Переход от ""жёсткого"" к ""мягкому"" KM",Социальные тренды,3-5
Экосистемы 2.0. Развитие экосистем KM,Экономические тренды,5-7
Кадровый голод. Растущий дефицит квалифицированных кадров,Социальные тренды,5-7
Интеграция генеративного AI в KM-системы,Технологические тренды,1-3
Рост роли контент-менеджмента,Социальные тренды,
Развитие клиентских сообществ,Социальные тренды,3-5
Рост отраслевого и межотраслевого сотрудничества,Экономические тренды,3-5
Непрерывное обучение (lifelong learning),Социальные тренды,5-7
Рост запроса на персонализацию и кастомизацию,Социальные тренды,1-3
Персональная система КМ. Популярность Knowledge BOTs,Технологические тренды,1-3
Запрос на улучшение UX и интеллектуальный поиск,Технологические тренды,1-3
Старение населения,Социальные тренды,5-7
Рост цифрового клиентского опыта,Технологические тренды,1-3
"Развитие ""серебряной экономики""",Социальные тренды,5-7
Запрос на более быструю и эффективную коммуникацию,Социальные тренды,1-3
Фокус на клиент-центричном KM,Социальные тренды,1-3
"Развитие компьютерного зрения, VR, AR, предиктивной аналитики, геймификации и др.",Технологические тренды,3-5
Рост влияния поколения альфа,Социальные тренды,5-7
Рост автоматизации бизнеса и использования AI,Технологические тренды,3-5
Развитие мобильных и облачных решений,Технологические тренды,3-5
Развитие персональных AI-ассистентов,Технологические тренды,1-3
"Рост угрозы фейкового контента, созданного AI",Юридические тренды,5-7
Развитие нейросетей для нейросетей,Технологические тренды,5-7
"Развитие сервисов доставки, e-commerce, удалённых технологий",Экономические тренды,3-5
Рост роли информационной безопасности,Юридические тренды,5-7
Развитие детекторов AI-контента,Технологические тренды,3-5
Рост запроса на безопасный AI,Юридические тренды,5-7
Деглобализация: переход от глобального к локальному,Политические тренды,3-5
Рост участия государства в развитии AI,Политические тренды,5-7
"Уберизация, сокращение цепочек поставок",Экономические тренды,3-5
Рост спроса на гибридную работу и коммуникацию,Юридические тренды,3-5
Увеличение скорости изменений и принятия решений,Социальные тренды,3-5
Существенное ускорение и увеличения количества генерируемых единиц информации,Социальные тренды,1-3
Улучшение поиска и доступа к знаниям,Технологические тренды,1-3
Рост влияния рекомендаций и отзывов в принятии решений,Социальные тренды,3-5
Захват и передача неявных знаний (tacit knowledge),Социальные тренды,3-5
Программы по удержанию знаний при текучести кадров,Социальные тренды,3-5
Управление информационной перегрузкой,Технологические тренды,3-5
"Сотрудничество как основа для развития бизнеса, источник активов для конкурентоспособности",Экономические тренды,5-7
Развитие цифровой и технологической грамотности,Социальные тренды,1-3
Использование knowledge graphs и картирования знаний,Технологические тренды,1-3
AI как главный потребитель неявных знаний,Технологические тренды,3-5
Автоматизация процесса производства контента силами ИИ,Социальные тренды,3-5
Рост влияния ИИ (AI) на Управления Знаниями (КМ),Технологические тренды,1-3
AI vs KM. Акцент на человеческом факторе,Социальные тренды,3-5
New KM – трансформация на базе AI,Технологические тренды,1-3
Развитие стратегического подхода к управлению знаниями,Экономические тренды,3-5
Нематериальные активы как основа конкурентоспособности компаний,Экономические тренды,3-5
Новые компетенции специалистов по управлению знаниями,Социальные тренды,3-5
Новые гибридные модели лидерства,Социальные тренды,3-5
Новая ИИ-этика,Юридические тренды,3-5
Растущая поляризация общества,Экономические тренды,5-7
Ускорение внедрения чат-ботов и виртуальных помощников,Экономические тренды,1-3
Развитие этичного и прозрачного ИИ,Юридические тренды,3-5
Рост интеграции онлайн и офлайн с ИИ,Технологические тренды,1-3
Развитие AI-агентов для управления бизнесом,Экономические тренды,3-5
Интеграция ИИ с AR/VR,Экономические тренды,3-5
Появление эмоционального ИИ,Экономические тренды,3-5
Рост доступности и универсальности ИИ,Экономические тренды,3-5
Ускорение внедрения ИИ в бизнес-процессы,Экономические тренды,1-3
